ID,Error_Type,Hallucination_Severity,Root_Cause_Hypothesis,Detailed Description,Reported By
83,Logic Error,Moderate,Model misunderstood problem requirements or generated wrong logic.,Assumes mask filters produce a filtered DataFrame; code shows nothing about filter logic,Ahmed
70,Other,Minor,Unclear hallucination type.,Adds arg description not present; incomplete,Ahmed
10,Non-existent API/Function,Moderate,Model hallucinated non-existent library functions.,Says return is str but function returns None,Ahmed
51,Other,Moderate,Unclear hallucination type.,Invents output dictionary spec not implied in code,Ahmed
83,Logic Error,Moderate,Model misunderstood problem requirements or generated wrong logic.,Assumes mask filters produce a filtered DataFrame; code shows nothing about filter logic,Rana
70,Other,Minor,Unclear hallucination type.,Adds arg description not present; incomplete,Rana
10,Non-existent API/Function,Moderate,Model hallucinated non-existent library functions.,Says return is str but function returns None,Rana
51,Other,Moderate,Unclear hallucination type.,Invents output dictionary spec not implied in code,Rana
83,Logic Error,Moderate,Model misunderstood problem requirements or generated wrong logic.,Assumes mask filters produce a filtered DataFrame; code shows nothing about filter logic,Roaa
70,Other,Minor,Unclear hallucination type.,Adds arg description not present; incomplete,Roaa
10,Non-existent API/Function,Moderate,Model hallucinated non-existent library functions.,Says return is str but function returns None,Roaa
51,Other,Moderate,Unclear hallucination type.,Invents output dictionary spec not implied in code,Roaa
